TOP GAUGE

CLIENT				: Company A.
SERVICE COMPANY			: Best Service Company.
SURVEY DATE			: 2ND - 4TH JANUARY, 2022.
WELL NAME			: Well A
JOB TYPE			: FLOWING GRADIENT / 9-HOUR PRESSURE BUILD UP/ STATIC GRADIENT SURVEY
GAUGE TYPE/SERIAL NO		: ##
GAUGE DEPTH			: 8977FT WLM
GAUGE STOP TIME/DATE		: 03:06:33 /4TH-JANUARY-2022.

SPECIALIST			: Bob Joe


REAL DATE  REAL TIME	   ELAPSED TIME	  PRESSURE	TEMPERATURE
mm-dd-yy   hh:mm:ss	     (Hours)	   (psiA)	  (deg F)

01/02/22  19:40:41          .03417         14.725         87.491
01/02/22  19:40:46          .03556         14.727         87.491
01/02/22  19:40:51          .03694         14.727         87.491
01/02/22  19:40:56          .03833         14.725         87.490
01/02/22  19:41:01          .03972         14.729         87.487
01/02/22  19:41:06          .04111         14.727         87.486
01/02/22  19:41:11          .04250         14.730         87.484
01/02/22  19:41:16          .04389         14.729         87.481
01/02/22  19:41:21          .04528         14.727         87.477
01/02/22  19:41:26          .04667         14.725         87.473
01/02/22  19:41:31          .04806         14.727         87.469
01/02/22  19:41:36          .04944         14.726         87.464
01/02/22  19:41:41          .05083         14.727         87.458
01/02/22  19:41:46          .05222         14.731         87.451
01/02/22  19:41:51          .05361         14.727         87.444
01/02/22  19:41:56          .05500         14.729         87.437
01/02/22  19:42:01          .05639         14.729         87.429
01/02/22  19:42:06          .05778         14.729         87.420
01/02/22  19:42:11          .05917         14.730         87.410
01/02/22  19:42:16          .06056         14.730         87.401
01/02/22  19:42:21          .06194         14.728         87.391
01/02/22  19:42:26          .06333         14.728         87.380
01/02/22  19:42:31          .06472         14.728         87.368
01/02/22  19:42:36          .06611         14.729         87.357
01/02/22  19:42:41          .06750         14.730         87.345
01/02/22  19:42:46          .06889         14.731         87.331
01/02/22  19:42:51          .07028         14.731         87.319
01/02/22  19:42:56          .07167         14.731         87.305
01/02/22  19:43:01          .07306         14.729         87.291
01/02/22  19:43:06          .07444         14.730         87.277
01/02/22  19:43:11          .07583         14.730         87.262
01/02/22  19:43:16          .07722         14.730         87.247
01/02/22  19:43:21          .07861         14.730         87.231
01/02/22  19:43:26          .08000         14.730         87.217
01/02/22  19:43:31          .08139         14.731         87.200
01/02/22  19:43:36          .08278         14.731         87.184
01/02/22  19:43:41          .08417         14.731         87.168
01/02/22  19:43:46          .08556         14.731         87.151
01/02/22  19:43:51          .08694         14.731         87.134
01/02/22  19:43:56          .08833         14.732         87.117
01/02/22  19:44:01          .08972         14.732         87.100
01/02/22  19:44:06          .09111         14.730         87.082
01/02/22  19:44:11          .09250         14.731         87.063
01/02/22  19:44:16          .09389         14.731         87.046
01/02/22  19:44:21          .09528         14.733         87.026
01/02/22  19:44:26          .09667         14.733         87.008
01/02/22  19:44:31          .09806         14.732         86.989
01/02/22  19:44:36          .09944         14.734         86.970
01/02/22  19:44:41          .10083         14.734         86.951
01/02/22  19:44:46          .10222         14.734         86.932
01/02/22  19:44:51          .10361         14.734         86.912
01/02/22  19:44:56          .10500         14.735         86.894
01/02/22  19:45:01          .10639         14.735         86.873
01/02/22  19:45:06          .10778         14.733         86.854
01/02/22  19:45:11          .10917         14.734         86.834
01/02/22  19:45:16          .11056         14.734         86.814
01/02/22  19:45:21          .11194         14.734         86.794
01/02/22  19:45:26          .11333         14.734         86.774
01/02/22  19:45:31          .11472         14.735         86.754
01/02/22  19:45:36          .11611         14.733         86.734
01/02/22  19:45:41          .11750         14.733         86.714
01/02/22  19:45:46          .11889         14.734         86.694
01/02/22  19:45:51          .12028         14.734         86.673
01/02/22  19:45:56          .12167         14.734         86.653
01/02/22  19:46:01          .12306         14.735         86.632
01/02/22  19:46:06          .12444         14.736         86.613
01/02/22  19:46:11          .12583         14.737         86.592
01/02/22  19:46:16          .12722         14.737         86.572
01/02/22  19:46:21          .12861         14.737         86.552
01/02/22  19:46:26          .13000         14.736         86.532
01/02/22  19:46:31          .13139         14.736         86.512
01/02/22  19:46:36          .13278         14.736         86.491
01/02/22  19:46:41          .13417         14.735         86.472
01/02/22  19:46:46          .13556         14.735         86.452
01/02/22  19:46:51          .13694         14.735         86.431
01/02/22  19:46:56          .13833         14.736         86.411
01/02/22  19:47:01          .13972         14.736         86.391
01/02/22  19:47:06          .14111         14.736         86.372
01/02/22  19:47:11          .14250         14.735         86.352
01/02/22  19:47:16          .14389         14.735         86.332
01/02/22  19:47:21          .14528         14.735         86.312
01/02/22  19:47:26          .14667         14.736         86.293
01/02/22  19:47:31          .14806         14.736         86.273
01/02/22  19:47:36          .14944         14.736         86.253
01/02/22  19:47:41          .15083         14.736         86.233
01/02/22  19:47:46          .15222         14.737         86.214
01/02/22  19:47:51          .15361         14.737         86.194
01/02/22  19:47:56          .15500         14.737         86.175
01/02/22  19:48:01          .15639         14.736         86.156
01/02/22  19:48:06          .15778         14.736         86.137
01/02/22  19:48:11          .15917         14.736         86.118
01/02/22  19:48:16          .16056         14.736         86.098
01/02/22  19:48:21          .16194         14.737         86.079
01/02/22  19:48:26          .16333         14.739         86.061
01/02/22  19:48:31          .16472         14.739         86.042
01/02/22  19:48:36          .16611         14.737         86.023
01/02/22  19:48:41          .16750         14.738         86.005
01/02/22  19:48:46          .16889         14.738         85.986
01/02/22  19:48:51          .17028         14.738         85.968
01/02/22  19:48:56          .17167         14.738         85.951
01/02/22  19:49:01          .17306         14.737         85.931
01/02/22  19:49:06          .17444         14.739         85.913
01/02/22  19:49:11          .17583         14.739         85.895
01/02/22  19:49:16          .17722         14.739         85.876
01/02/22  19:49:21          .17861         14.740         85.857
01/02/22  19:49:26          .18000         14.740         85.840
01/02/22  19:49:31          .18139         14.740         85.821
01/02/22  19:49:36          .18278         14.739         85.804
01/02/22  19:49:41          .18417         14.739         85.786
01/02/22  19:49:46          .18556         14.737         85.768
01/02/22  19:49:51          .18694         14.739         85.749
01/02/22  19:49:56          .18833         14.740         85.732
01/02/22  19:50:01          .18972         14.740         85.713
01/02/22  19:50:06          .19111         14.740         85.696
01/02/22  19:50:11          .19250         14.740         85.677
01/02/22  19:50:16          .19389         14.740         85.660
01/02/22  19:50:21          .19528         14.739         85.642
01/02/22  19:50:26          .19667         14.739         85.625
01/02/22  19:50:31          .19806         14.738         85.607
01/02/22  19:50:36          .19944         14.740         85.589
01/02/22  19:50:41          .20083         14.742         85.571
01/02/22  19:50:46          .20222         14.740         85.554
01/02/22  19:50:51          .20361         14.740         85.537
01/02/22  19:50:56          .20500         14.741         85.519
01/02/22  19:51:01          .20639         14.741         85.502
01/02/22  19:51:06          .20778         14.741         85.485
01/02/22  19:51:11          .20917         14.740         85.466
01/02/22  19:51:16          .21056         14.740         85.450
01/02/22  19:51:21          .21194         14.740         85.433
01/02/22  19:51:26          .21333         14.740         85.415
01/02/22  19:51:31          .21472         14.741         85.399
01/02/22  19:51:36          .21611         14.739         85.382
01/02/22  19:51:41          .21750         14.739         85.365
01/02/22  19:51:46          .21889         14.739         85.349
01/02/22  19:51:51          .22028         14.740         85.332
01/02/22  19:51:56          .22167         14.740         85.315
01/02/22  19:52:01          .22306         14.740         85.298
01/02/22  19:52:06          .22444         14.740         85.282
01/02/22  19:52:11          .22583         14.741         85.265
01/02/22  19:52:16          .22722         14.741         85.249
01/02/22  19:52:21          .22861         14.741         85.232
01/02/22  19:52:26          .23000         14.740         85.217
01/02/22  19:52:31          .23139         14.741         85.200
01/02/22  19:52:36          .23278         14.742         85.184
01/02/22  19:52:41          .23417         14.740         85.167
01/02/22  19:52:46          .23556         14.740         85.152
01/02/22  19:52:51          .23694         14.741         85.135
01/02/22  19:52:56          .23833         14.741         85.120
01/02/22  19:53:01          .23972         14.744         85.104
01/02/22  19:53:06          .24111         14.751         85.088
01/02/22  19:53:11          .24250         14.758         85.086
01/02/22  19:53:16          .24389         14.761         85.073
01/02/22  19:53:21          .24528         14.763         85.057
01/02/22  19:53:26          .24667         14.765         85.044
01/02/22  19:53:31          .24806         14.767         85.028
01/02/22  19:53:36          .24944         14.767         85.012
01/02/22  19:53:41          .25083         14.767         84.997
01/02/22  19:53:46          .25222         14.769         84.983
01/02/22  19:53:51          .25361         14.769         84.970
01/02/22  19:53:56          .25500         14.769         84.959
01/02/22  19:54:01          .25639         14.768         84.947
01/02/22  19:54:06          .25778         14.768         84.936
01/02/22  19:54:11          .25917         14.768         84.927
01/02/22  19:54:16          .26056         14.768         84.917
01/02/22  19:54:21          .26194         14.768         84.910
01/02/22  19:54:26          .26333         14.769         84.903
01/02/22  19:54:31          .26472         14.767         84.897
01/02/22  19:54:36          .26611         14.767         84.891
01/02/22  19:54:41          .26750         14.767         84.887
01/02/22  19:54:46          .26889         14.767         84.883
01/02/22  19:54:51          .27028         14.767         84.882
01/02/22  19:54:56          .27167         14.767         84.881
01/02/22  19:55:01          .27306         14.767         84.880
01/02/22  19:55:06          .27444         14.767         84.882
01/02/22  19:55:11          .27583         14.767         84.883
01/02/22  19:55:16          .27722         14.767         84.884
01/02/22  19:55:21          .27861         14.767         84.885
01/02/22  19:55:26          .28000         14.767         84.888
01/02/22  19:55:31          .28139         14.767         84.888
01/02/22  19:55:36          .28278         14.767         84.890
01/02/22  19:55:41          .28417         14.764         84.891
01/02/22  19:55:46          .28556         14.755         84.884
01/02/22  19:55:51          .28694         14.749         84.874
01/02/22  19:55:56          .28833         14.746         84.873
01/02/22  19:56:01          .28972         14.747         84.872
01/02/22  19:56:06          .29111         14.751         84.881
01/02/22  19:56:11          .29250         14.755         84.885
01/02/22  19:56:16          .29389         14.754         84.874
01/02/22  19:56:21          .29528         14.752         84.873
01/02/22  19:56:26          .29667         14.756         84.880
01/02/22  19:56:31          .29806         14.756         84.881
01/02/22  19:56:36          .29944         14.756         84.882
01/02/22  19:56:41          .30083         14.757         84.884
01/02/22  19:56:46          .30222         14.757         84.886
01/02/22  19:56:51          .30361         14.757         84.888
01/02/22  19:56:56          .30500         14.757         84.889
01/02/22  19:57:01          .30639         14.757         84.891
01/02/22  19:57:06          .30778         14.757         84.893
01/02/22  19:57:11          .30917         14.757         84.895
01/02/22  19:57:16          .31056         14.755         84.896
01/02/22  19:57:21          .31194         14.752         84.897
01/02/22  19:57:26          .31333         14.749         84.897
01/02/22  19:57:31          .31472         14.747         84.900
01/02/22  19:57:36          .31611         14.747         84.901
01/02/22  19:57:41          .31750         14.745         84.900
01/02/22  19:57:46          .31889         14.747         84.900
01/02/22  19:57:51          .32028         14.754         84.909
01/02/22  19:57:56          .32167         14.758         84.907
01/02/22  19:58:01          .32306         14.758         84.908
01/02/22  19:58:06          .32444         14.755         84.907
01/02/22  19:58:11          .32583         14.750         84.897
01/02/22  19:58:16          .32722         14.747         84.887
01/02/22  19:58:21          .32861         14.744         84.882
01/02/22  19:58:26          .33000         14.746         84.879
01/02/22  19:58:31          .33139         14.752         84.875
01/02/22  19:58:36          .33278         14.751         84.883
01/02/22  19:58:41          .33417         14.752         84.877
01/02/22  19:58:46          .33556         14.761         84.879
01/02/22  19:58:51          .33694         14.756         84.876
01/02/22  19:58:56          .33833         14.749         84.858
01/02/22  19:59:01          .33972         14.748         84.857
01/02/22  19:59:06          .34111         14.749         84.859
01/02/22  19:59:11          .34250         14.749         84.871
01/02/22  19:59:16          .34389         14.747         84.863
01/02/22  19:59:21          .34528         14.753         84.858
01/02/22  19:59:26          .34667         14.754         84.847
01/02/22  19:59:31          .34806         14.756         84.852
01/02/22  19:59:36          .34944         14.759         84.847
01/02/22  19:59:41          .35083         14.761         84.842
01/02/22  19:59:46          .35222         14.761         84.846
01/02/22  19:59:51          .35361         14.761         84.833
01/02/22  19:59:56          .35500         14.756         84.828
01/02/22  20:00:01          .35639         14.756         84.818
01/02/22  20:00:06          .35778         14.759         84.837
01/02/22  20:00:11          .35917         14.761         84.838
01/02/22  20:00:16          .36056         14.763         84.834
01/02/22  20:00:21          .36194         14.763         84.831
01/02/22  20:00:26          .36333         14.761         84.826
01/02/22  20:00:31          .36472         14.761         84.823
01/02/22  20:00:36          .36611         14.761         84.819
01/02/22  20:00:41          .36750         14.761         84.815
01/02/22  20:00:46          .36889         14.763         84.811
01/02/22  20:00:51          .37028         14.763         84.806
01/02/22  20:00:56          .37167         14.762         84.803
01/02/22  20:01:01          .37306         14.762         84.797
01/02/22  20:01:06          .37444         14.762         84.793
01/02/22  20:01:11          .37583         14.762         84.789
01/02/22  20:01:16          .37722         14.762         84.784
01/02/22  20:01:21          .37861         14.762         84.778
01/02/22  20:01:26          .38000         14.762         84.774
01/02/22  20:01:31          .38139         14.762         84.768
01/02/22  20:01:36          .38278         14.759         84.763
01/02/22  20:01:41          .38417         14.757         84.753
01/02/22  20:01:46          .38556         14.756         84.750
01/02/22  20:01:51          .38694         14.757         84.744
01/02/22  20:01:56          .38833         14.761         84.742
01/02/22  20:02:01          .38972         14.762         84.736
01/02/22  20:02:06          .39111         14.766         84.728
01/02/22  20:02:11          .39250         14.768         84.724
01/02/22  20:02:16          .39389         14.769         84.718
01/02/22  20:02:21          .39528         14.768         84.712
01/02/22  20:02:26          .39667         14.768         84.708
01/02/22  20:02:31          .39806         14.766         84.704
01/02/22  20:02:36          .39944         14.768         84.699
01/02/22  20:02:41          .40083         14.768         84.689
01/02/22  20:02:46          .40222         14.768         84.684
01/02/22  20:02:51          .40361         14.768         84.680
01/02/22  20:02:56          .40500         14.768         84.677
01/02/22  20:03:01          .40639         14.768         84.672
01/02/22  20:03:06          .40778         14.768         84.671
01/02/22  20:03:11          .40917         14.770         84.671
01/02/22  20:03:16          .41056         14.770         84.666
01/02/22  20:03:21          .41194         14.770         84.662
01/02/22  20:03:26          .41333         14.770         84.658
01/02/22  20:03:31          .41472         14.770         84.654
01/02/22  20:03:36          .41611         14.772         84.651
01/02/22  20:03:41          .41750         14.772         84.646
01/02/22  20:03:46          .41889         14.770         84.642
01/02/22  20:03:51          .42028         14.770         84.638
01/02/22  20:03:56          .42167         14.770         84.633
01/02/22  20:04:01          .42306         14.770         84.627
01/02/22  20:04:06          .42444         14.771         84.621
01/02/22  20:04:11          .42583         14.771         84.616
01/02/22  20:04:16          .42722         14.771         84.611
01/02/22  20:04:21          .42861         14.771         84.605
01/02/22  20:04:26          .43000         14.771         84.599
01/02/22  20:04:31          .43139         14.771         84.593
01/02/22  20:04:36          .43278         14.771         84.586
01/02/22  20:04:41          .43417         14.768         84.579
01/02/22  20:04:46          .43556         14.765         84.573
01/02/22  20:04:51          .43694         14.765         84.566
01/02/22  20:04:56          .43833         14.765         84.561
01/02/22  20:05:01          .43972         14.765         84.554
01/02/22  20:05:06          .44111         14.766         84.548
01/02/22  20:05:11          .44250         14.765         84.540
01/02/22  20:05:16          .44389         14.765         84.534
01/02/22  20:05:21          .44528         14.765         84.527
01/02/22  20:05:26          .44667         14.764         84.521
01/02/22  20:05:31          .44806         14.764         84.515
01/02/22  20:05:36          .44944         14.764         84.509
01/02/22  20:05:41          .45083         14.764         84.503
01/02/22  20:05:46          .45222         14.764         84.496
01/02/22  20:05:51          .45361         14.764         84.491
01/02/22  20:05:56          .45500         14.764         84.486
01/02/22  20:06:01          .45639         14.764         84.481
01/02/22  20:06:06          .45778         14.764         84.477
01/02/22  20:06:11          .45917         14.764         84.471
01/02/22  20:06:16          .46056         14.763         84.468
01/02/22  20:06:21          .46194         14.763         84.463
01/02/22  20:06:26          .46333         14.763         84.460
01/02/22  20:06:31          .46472         14.763         84.457
01/02/22  20:06:36          .46611         14.763         84.453
01/02/22  20:06:41          .46750         14.763         84.450
01/02/22  20:06:46          .46889         14.764         84.447
01/02/22  20:06:51          .47028         14.765         84.445
01/02/22  20:06:56          .47167         14.763         84.442
01/02/22  20:07:01          .47306         14.761         84.439
01/02/22  20:07:06          .47444         14.760         84.437
01/02/22  20:07:11          .47583         14.761         84.434
01/02/22  20:07:16          .47722         14.765         84.433
01/02/22  20:07:21          .47861         14.766         84.432
01/02/22  20:07:26          .48000         14.766         84.430
01/02/22  20:07:31          .48139         14.766         84.429
01/02/22  20:07:36          .48278         14.768         84.428
01/02/22  20:07:41          .48417         14.770         84.428
01/02/22  20:07:46          .48556         14.770         84.426
01/02/22  20:07:51          .48694         14.770         84.426
01/02/22  20:07:56          .48833         14.770         84.425
01/02/22  20:08:01          .48972         14.773         84.425
01/02/22  20:08:06          .49111         14.775         84.423
01/02/22  20:08:11          .49250         14.775         84.424
01/02/22  20:08:16          .49389         14.778         84.422
01/02/22  20:08:21          .49528         14.781         84.425
01/02/22  20:08:26          .49667         14.781         84.423
01/02/22  20:08:31          .49806         14.783         84.425
01/02/22  20:08:36          .49944         14.785         84.423
01/02/22  20:08:41          .50083         14.786         84.425
01/02/22  20:08:46          .50222         14.786         84.421
01/02/22  20:08:51          .50361         14.788         84.426
01/02/22  20:08:56          .50500         14.791         84.426
01/02/22  20:09:01          .50639         14.793         84.425
01/02/22  20:09:06          .50778         14.795         84.427
01/02/22  20:09:11          .50917         14.796         84.427
01/02/22  20:09:16          .51056         14.798         84.427
01/02/22  20:09:21          .51194         14.801         84.429
01/02/22  20:09:26          .51333         14.803         84.426
01/02/22  20:09:31          .51472         14.804         84.432
01/02/22  20:09:36          .51611         14.808         84.433
01/02/22  20:09:41          .51750         14.809         84.434
01/02/22  20:09:46          .51889         14.811         84.437
01/02/22  20:09:51          .52028         14.811         84.438
01/02/22  20:09:56          .52167         14.813         84.440
01/02/22  20:10:01          .52306         14.814         84.440
01/02/22  20:10:06          .52444         14.816         84.442
01/02/22  20:10:11          .52583         14.818         84.444
